segmentation	accuracy	minVal	maxVal
100_100_100	0.586	0.5819617075908308	0.5900268161832167
100_100_10	0.5725333333333333	0.5684783823822503	0.5765786054596548
100_100_25	0.5804	0.5763544085389396	0.5844348626935978
100_100_50	0.5800666666666666	0.5760206574685538	0.5841019915877624
50_50_100	0.5836666666666667	0.5796252684295712	0.5876969001232797
50_50_50	0.5773333333333334	0.5732839693938748	0.5813723778128239
50_50_25	0.5839333333333333	0.5798922853747082	0.5879631809180337
50_50_10	0.5756666666666667	0.5716153189145566	0.5797079174042915
25_25_100	0.5808	0.5767549123004182	0.5848343055434209
25_25_50	0.5812666666666667	0.5772221701054459	0.5853003187846847
25_25_25	0.5806666666666667	0.5766214107462881	0.5847011582271369
25_25_10	0.5756666666666667	0.5716153189145566	0.5797079174042915
10_10_100	0.5764	0.572349519367761	0.5804402857421024
10_10_50	0.5753333333333334	0.5712815944249733	0.579375019715955
10_10_25	0.5752666666666667	0.5712148497511639	0.5793084399541666
10_10_10	0.5741333333333334	0.5700802017204943	0.5781765725789718
