segmentation	accuracy	minVal	maxVal	threshold	tradeOffValue
100_100_10	0.6147333333333334	0.6107409461210076	0.6187104084872443	0.5659459459459459	0.6572085848572815
100_100_25	0.6154	0.6114088482843382	0.6193757506437462	0.5659459459459459	0.6559332791140978
100_100_50	0.6158	0.6118095933422394	0.6197749521773775	0.5659459459459459	0.6565323190584892
50_50_100	0.6176666666666667	0.6136797742850941	0.6216378553246656	0.562972972972973	0.6574413277985122
25_25_100	0.6173333333333333	0.6133458088876158	0.6213051985636372	0.563963963963964	0.6596913598290856
10_10_10	0.6143333333333333	0.6103402085802342	0.6183111994357536	0.560990990990991	0.6516556500267062
100_100_100	0.616	0.6120099669293163	0.6199745518859634	0.564954954954955	0.6572044318949624
10_10_100	0.6182666666666666	0.6142809169532911	0.6222366325412866	0.563963963963964	0.654688770137222
