Name,Accuracy
pp_50_50_50,61.25999689102173
pp_25_25_25,61.54499650001526
pp_50_50_25,61.03999614715576
pp_100_100_10,61.21000051498413
pp_100_100_100,61.59999966621399
pp_100_100_25,61.114996671676636
pp_25_25_50,61.41499876976013
pp_10_10_10,60.73499917984009
pp_25_25_10,61.169999837875366
pp_50_50_10,61.67500019073486
pp_10_10_25,61.309999227523804
pp_50_50_100,61.684995889663696
pp_25_25_100,61.71000003814697
pp_10_10_100,61.34499907493591
pp_10_10_50,60.60999631881714
pp_100_100_50,61.219996213912964
