Name,accuracy,minVal,maxVal
pp_50_50_50,61.25999689102173,0.6160449117194788,0.609143830324496
pp_25_25_25,61.54499650001526,0.6188900754368729,0.6119983815444139
pp_50_50_25,61.03999614715576,0.613848560497895,0.6069404015884393
pp_100_100_10,61.21000051498413,0.6155457474413351,0.6086430446127227
pp_100_100_100,61.59999966621399,0.619439127859474,0.6125492741086785
pp_100_100_25,61.11499667167664,0.6145973248498456,0.6076915622226289
pp_25_25_50,61.41499876976013,0.6175922968121731,0.6106962901988175
pp_10_10_10,60.73499917984009,0.6108034977173177,0.6038857694193113
pp_25_25_10,61.169999837875366,0.6151464132836751,0.6082424187782548
pp_50_50_10,61.67500019073486,0.620187828258574,0.6133004986911194
pp_10_10_25,61.30999922752381,0.6165440721962911,0.6096446198373302
pp_50_50_100,61.684995889663696,0.6202876543285282,0.6134006626186559
pp_25_25_100,61.71000003814697,0.6205372188340089,0.6136510731068522
pp_10_10_100,61.34499907493591,0.6168934822668151,0.6099951747593968
pp_10_10_50,60.60999631881714,0.6095554805668605,0.6026339115876204
pp_100_100_50,61.21999621391296,0.6156455806009405,0.6087432014511222
