segmentation	accuracy	minVal	maxVal
100_100_100	0.6174666666666667	0.6134793948108566	0.6214382615038226
100_100_50	0.6162	0.612210341222087	0.6201741508887861
100_100_25	0.6172	0.6132122232786363	0.6211721353091592
100_100_10	0.6099333333333333	0.6059322811282447	0.6139197143551476
50_50_100	0.6154666666666667	0.6114756389314234	0.6194422844286022
50_50_50	0.6171333333333333	0.6131454305919751	0.6211056035640801
50_50_25	0.6152666666666666	0.6112752672251842	0.6192426828389945
50_50_10	0.6135333333333334	0.6095387419448223	0.6175127728858225
25_25_100	0.6128666666666667	0.6088708616768163	0.6168474088318849
25_25_50	0.6146666666666667	0.6106741563352595	0.6186438738409674
25_25_25	0.6137333333333334	0.6097391075484163	0.6177123805786657
25_25_10	0.6133333333333333	0.6093383770443968	0.6173131644897433
10_10_100	0.6128	0.6088040740794427	0.6167808719970231
10_10_50	0.6157333333333334	0.6117428023033321	0.6197084187843819
10_10_25	0.6114	0.6074015525522855	0.6153835804455309
10_10_10	0.6131333333333333	0.6091380128469381	0.61711355539063
